gm,gemeente,v01_pop,v57_density,v43_nl,v122_disposable,v132_income,v142_wealth,v153_uitkering,c_65plus
GM0736,De Ronde Venen,44720,448,82.5,61.8,41.2,217.8,2300,21.3
GM1674,Roosendaal,77200,725,73.5,46.2,32.1,86.9,6330,21.900000000000002
GM0599,Rotterdam,651631,2995,47.1,42.6,30.9,12.5,73140,15.5
GM0277,Rozendaal,1726,62,84.5,NA,NA,412,50,23.9
GM0840,Rucphen,23080,358,89.3,49.4,32.9,154.9,1880,22.7
GM0441,Schagen,46532,277,88.6,51.4,34.9,158,2980,24.9
GM0279,Scherpenzeel,10128,735,92,53.1,35,182.4,440,19.5
GM0606,Schiedam,79279,4448,55.4,43.4,30.8,39.6,6600,17.5
GM0088,Schiermonnikoog,931,23,89.2,NA,NA,126.3,40,29.6
GM1676,Schouwen-Duiveland,34065,148,90,50.6,35.3,149.4,1870,27.900000000000002
GM0965,Simpelveld,10477,654,82,45.3,31.6,106.9,820,26.7
GM0845,Sint-Michielsgestel,29498,505,91.2,58.3,38.2,254.3,1590,21.9
GM1883,Sittard-Geleen,91743,1161,77.5,43.5,31.1,71.7,10490,24.400000000000002
GM0610,Sliedrecht,25597,1994,84.5,47.8,32.1,93.4,2240,20.2
GM1714,Sluis,23166,83,71.4,46.1,32.6,167.5,1360,29
GM0090,Smallingerland,56040,478,88,44,30.6,71.7,5070,21.7
GM0342,Soest,46906,1014,78.1,55.6,37.8,174.9,3020,22.6
GM0847,Someren,19428,242,89.7,54,35.8,212.8,1170,20.5
GM0848,Son en Breugel,17552,676,86,58.9,39.4,218.9,910,22
GM0037,Stadskanaal,31754,270,91.5,41.4,28.8,56.4,3370,25.5
GM0180,Staphorst,17261,129,95.2,56.2,34.5,256,630,15.700000000000001
GM0532,Stede Broec,21743,1500,86,49.6,33.2,132.5,1570,22.3
GM0851,Steenbergen,24310,166,84.9,48.2,33.1,102.6,1540,22.4
GM1708,Steenwijkerland,44341,154,91,47.2,32.2,107.1,3020,22.8
GM0971,Stein,24875,1180,85.8,46.9,32.5,143.6,2010,27.9
GM1904,Stichtse Vecht,65108,678,80.8,59,39.8,171.5,3690,21
GM1900,Súdwest-Fryslân,89999,172,90.6,46.2,31.8,105.5,6430,23
GM0715,Terneuzen,54463,218,71.3,45.5,32.2,98.3,3980,25.5
GM0093,Terschelling,4870,57,92.4,NA,NA,217.6,140,24.099999999999998
GM0448,Texel,13656,84,88.8,48.4,34.5,230.7,950,26.4
GM1525,Teylingen,37791,1331,83.2,59.2,39.6,191.9,1740,20
GM0716,Tholen,26085,178,90.3,50.2,33,102.5,1510,19.5
GM0281,Tiel,41920,1275,72.7,46,31.6,54.9,3670,18.5
GM0855,Tilburg,221947,1762,70.8,44.2,31.3,48.8,20100,17
GM0183,Tubbergen,21315,145,95.2,57.1,35.8,251.4,1050,19.9
GM1700,Twenterand,33699,317,94.5,49.1,31.7,122.6,2470,19.5
GM1730,Tynaarlo,33978,238,91.1,55,37.2,194.3,2110,24.7
GM0737,Tytsjerksteradiel,32060,215,93.5,47.5,32.2,135.4,2070,24
GM0450,Uitgeest,13632,711,86.9,55.8,36.9,213.9,740,18.5
GM0451,Uithoorn,30206,1665,71.3,53.6,36.2,142.3,1960,18.3
GM0184,Urk,21227,1614,95.7,56.9,33,158.3,770,9.8
GM0344,Utrecht,359370,3830,63.6,49.9,35.6,42.4,28320,10.5
GM1581,Utrechtse Heuvelrug,49946,378,83.9,59.6,40.4,221,3130,24.400000000000002
GM0981,Vaals,10084,422,47.6,39.3,28.9,59.1,840,28.400000000000002
GM0994,Valkenburg aan de Geul,16365,446,84.6,47.6,33.6,142.6,1360,29.700000000000003
GM0858,Valkenswaard,31221,569,85.2,49,34.1,121.7,1980,25.700000000000003
GM0047,Veendam,27417,361,86.6,42.4,29.6,47.6,2930,23.299999999999997
GM0345,Veenendaal,66912,3438,81.1,49.6,33.3,99.5,4730,18.4
GM0717,Veere,21953,166,91,54.2,36.6,256.5,890,27.700000000000003
GM0861,Veldhoven,45500,1436,80.6,53.6,36.5,188.1,2970,21.9
GM0453,Velsen,68617,1518,80.1,49.3,34,113.4,5300,20.7
GM0983,Venlo,101988,821,70.5,43.7,30.7,69.5,9320,22.2
GM0984,Venray,43713,268,78.9,49,33.3,111.2,3620,21.9
GM1961,Vijfheerenlanden,57829,395,82.5,52.4,34.7,117.9,3750,20.2
GM0622,Vlaardingen,73924,3137,66.9,43.5,30.8,39.5,6340,21.3
GM0096,Vlieland,1194,31,83.5,NA,NA,22.8,50,18.2
GM0718,Vlissingen,44358,1293,73,41.3,30,44.3,4210,24.4
GM0986,Voerendaal,12466,396,85.8,51.2,35.2,173.1,820,27.5
GM0626,Voorschoten,25650,2302,77.2,58.6,39.6,231.5,1260,23.599999999999998
GM0285,Voorst,24790,202,91.4,54.7,36.4,231.9,1570,24.3
GM0865,Vught,31669,527,86.5,64,43.2,205.5,1870,21.8
GM1949,Waadhoeke,46149,162,90.8,44.9,30.8,83,3340,22.6
GM0866,Waalre,17544,784,81.7,64.6,43.1,265.1,870,24
GM0867,Waalwijk,48815,756,80.5,48.4,33.1,95.2,3320,21.5
GM0627,Waddinxveen,30479,1097,81.8,52.7,35.1,118.4,1660,19.3
GM0289,Wageningen,39635,1303,71.7,45.5,32.8,59.5,2300,16.5
GM0629,Wassenaar,26949,527,64.4,75.9,51.2,238.2,1190,25.200000000000003
GM0852,Waterland,17312,332,86.2,59,39.4,255.7,900,25.2
GM0988,Weert,50011,479,77.9,48.5,33.6,132.4,3940,23.8
GM0457,Weesp,20445,897,71.2,53.8,37.1,150.3,1400,19.6
GM1960,West Betuwe,51496,238,90,57.9,37.6,182.2,2520,19.7
GM0668,West Maas en Waal,19581,255,91.3,51.9,34.7,185.4,1120,21.5
GM1969,Westerkwartier,63678,176,92.5,49.7,33.2,134,4220,21.1
GM1701,Westerveld,19661,71,93.4,51.3,35.4,196.4,1360,29.099999999999998
GM0293,Westervoort,15014,2136,80.9,46.2,31.9,67.6,1310,20.9
GM1950,Westerwolde,26215,95,85.7,43.7,30.3,108.8,2380,26.7
GM1783,Westland,111382,1370,83.6,54.8,36.2,179.7,5700,19.6
GM0098,Weststellingwerf,26130,119,92,45.4,31,112.9,1840,24.4
GM0614,Westvoorne,14900,280,88.5,64.4,43.6,231.9,690,27.3
GM0189,Wierden,24538,259,92.7,57,36.6,188.1,1190,21.599999999999998
GM0296,Wijchen,41261,624,87.2,51.8,34.8,145,2780,21.7
GM1696,Wijdemeren,24463,514,85.4,61.3,41.4,246.6,1150,24.1
GM0352,Wijk bij Duurstede,23925,502,88.2,55.3,37.1,163.7,1340,21.099999999999998
GM0294,Winterswijk,29022,210,84.9,47.4,32.7,103.7,2180,23.9
GM0873,Woensdrecht,22028,240,75.3,48.9,33.3,153,1250,24.6
GM0632,Woerden,52694,595,84.1,56.8,37.8,186.1,2970,19.299999999999997
GM1690,De Wolden,24374,109,94.6,52.6,35,209,1290,24.6
GM0880,Wormerland,16333,423,85.7,53,35.7,175.2,1080,23.6
GM0351,Woudenberg,13639,373,89.2,57.6,37.3,212.1,690,19
GM0479,Zaanstad,156901,2124,66,46.6,32.1,81.1,14230,18.4
GM0297,Zaltbommel,29447,371,85.4,53,34.9,142.2,1530,18.2
GM0473,Zandvoort,17168,535,76.3,51.8,37,154.2,1520,26.2
GM0050,Zeewolde,22879,93,81.9,53.5,35.4,105.9,1380,14.1
GM0355,Zeist,65043,1341,76.2,57.9,39.7,132.1,5020,21.2
GM0299,Zevenaar,44096,476,84.9,46.1,31.8,83.1,3530,24.700000000000003
GM0637,Zoetermeer,125267,3637,67.3,49,33.8,72,9690,19.8
GM0638,Zoeterwoude,8843,417,86.8,58.1,38.5,260.2,590,20.8
GM1892,Zuidplas,45064,777,81.9,57.3,37.8,158.8,2340,18.6
GM0879,Zundert,21988,182,83.8,52.3,35.2,251.9,1230,22.700000000000003
GM0301,Zutphen,48111,1175,81.7,44.4,31.4,68,4880,22.9
GM1896,Zwartewaterland,22823,277,93.5,56.1,35.2,126.2,1060,17.400000000000002
