gm,gemeente,party,votes
GM0163,Hellendoorn,Forum voor Democratie,450
GM0163,Hellendoorn,GROENLINKS,1179
GM0163,Hellendoorn,JA21,694
GM0163,Hellendoorn,JEZUS LEEFT,22
GM0163,Hellendoorn,PVV (Partij voor de Vrijheid),849
GM0163,Hellendoorn,Partij van de Arbeid (P.v.d.A.),966
GM0163,Hellendoorn,Partij voor de Dieren,433
GM0163,Hellendoorn,SP (Socialistische Partij),465
GM0163,Hellendoorn,Samen Lokaal Twente,565
GM0163,Hellendoorn,Staatkundig Gereformeerde Partij (SGP),180
GM0163,Hellendoorn,VVD,1519
GM0163,Hellendoorn,Volt,393
GM0164,Hengelo,50PLUS,575
GM0164,Hengelo,Alliantie,612
GM0164,Hengelo,BBB,8230
GM0164,Hengelo,Belang van Nederland (BVNL),361
GM0164,Hengelo,CDA,2518
GM0164,Hengelo,ChristenUnie,1036
GM0164,Hengelo,D66,1683
GM0164,Hengelo,Forum voor Democratie,1300
GM0164,Hengelo,GROENLINKS,3634
GM0164,Hengelo,JA21,1484
GM0164,Hengelo,JEZUS LEEFT,69
GM0164,Hengelo,PVV (Partij voor de Vrijheid),2271
GM0164,Hengelo,Partij van de Arbeid (P.v.d.A.),3531
GM0164,Hengelo,Partij voor de Dieren,1626
GM0164,Hengelo,SP (Socialistische Partij),2150
GM0164,Hengelo,Samen Lokaal Twente,1092
GM0164,Hengelo,Staatkundig Gereformeerde Partij (SGP),137
GM0164,Hengelo,VVD,3333
GM0164,Hengelo,Volt,1407
GM0166,Kampen,50PLUS,292
GM0166,Kampen,Alliantie,207
GM0166,Kampen,BBB,7148
GM0166,Kampen,Belang van Nederland (BVNL),208
GM0166,Kampen,CDA,2286
GM0166,Kampen,ChristenUnie,4091
GM0166,Kampen,D66,626
GM0166,Kampen,Forum voor Democratie,906
GM0166,Kampen,GROENLINKS,1882
GM0166,Kampen,JA21,1120
GM0166,Kampen,JEZUS LEEFT,51
GM0166,Kampen,PVV (Partij voor de Vrijheid),1923
GM0166,Kampen,Partij van de Arbeid (P.v.d.A.),1277
GM0166,Kampen,Partij voor de Dieren,754
GM0166,Kampen,SP (Socialistische Partij),720
GM0166,Kampen,Samen Lokaal Twente,35
GM0166,Kampen,Staatkundig Gereformeerde Partij (SGP),3438
GM0166,Kampen,VVD,1718
GM0166,Kampen,Volt,484
GM0168,Losser,50PLUS,153
GM0168,Losser,Alliantie,116
GM0168,Losser,BBB,4857
GM0168,Losser,Belang van Nederland (BVNL),95
GM0168,Losser,CDA,1236
GM0168,Losser,ChristenUnie,138
GM0168,Losser,D66,350
GM0168,Losser,Forum voor Democratie,322
GM0168,Losser,GROENLINKS,557
GM0168,Losser,JA21,467
GM0168,Losser,JEZUS LEEFT,5
GM0168,Losser,PVV (Partij voor de Vrijheid),779
GM0168,Losser,Partij van de Arbeid (P.v.d.A.),571
GM0168,Losser,Partij voor de Dieren,270
GM0168,Losser,SP (Socialistische Partij),266
GM0168,Losser,Samen Lokaal Twente,571
GM0168,Losser,Staatkundig Gereformeerde Partij (SGP),17
GM0168,Losser,VVD,966
GM0168,Losser,Volt,204
