gm,gemeente,party,votes
GM1658,Heeze-Leende,Volt,252
GM1659,Laarbeek,50PLUS,268
GM1659,Laarbeek,"AWP voor water, klimaat en natuur",203
GM1659,Laarbeek,Alliantie,61
GM1659,Laarbeek,BBB,2762
GM1659,Laarbeek,Belang van Nederland (BVNL),102
GM1659,Laarbeek,CDA,1041
GM1659,Laarbeek,ChristenUnie-SGP,75
GM1659,Laarbeek,D66,526
GM1659,Laarbeek,Forum voor Democratie,247
GM1659,Laarbeek,GROENLINKS,469
GM1659,Laarbeek,JA21,416
GM1659,Laarbeek,JEZUS LEEFT,6
GM1659,Laarbeek,Lokaal Brabant,319
GM1659,Laarbeek,Ouderen Appèl - Hart voor Brabant,136
GM1659,Laarbeek,PVV (Partij voor de Vrijheid),729
GM1659,Laarbeek,Partij van de Arbeid (P.v.d.A.),737
GM1659,Laarbeek,Partij voor de Dieren,307
GM1659,Laarbeek,SP (Socialistische Partij),825
GM1659,Laarbeek,VVD,1329
GM1659,Laarbeek,Volt,229
GM1667,Reusel-De Mierden,50PLUS,180
GM1667,Reusel-De Mierden,"AWP voor water, klimaat en natuur",27
GM1667,Reusel-De Mierden,Alliantie,26
GM1667,Reusel-De Mierden,BBB,2145
GM1667,Reusel-De Mierden,Belang van Nederland (BVNL),52
GM1667,Reusel-De Mierden,CDA,473
GM1667,Reusel-De Mierden,ChristenUnie-SGP,26
GM1667,Reusel-De Mierden,D66,334
GM1667,Reusel-De Mierden,Forum voor Democratie,134
GM1667,Reusel-De Mierden,GROENLINKS,182
GM1667,Reusel-De Mierden,JA21,206
GM1667,Reusel-De Mierden,JEZUS LEEFT,2
GM1667,Reusel-De Mierden,Lokaal Brabant,294
GM1667,Reusel-De Mierden,Ouderen Appèl - Hart voor Brabant,19
GM1667,Reusel-De Mierden,PVV (Partij voor de Vrijheid),360
GM1667,Reusel-De Mierden,Partij van de Arbeid (P.v.d.A.),408
GM1667,Reusel-De Mierden,Partij voor de Dieren,168
GM1667,Reusel-De Mierden,SP (Socialistische Partij),430
GM1667,Reusel-De Mierden,VVD,706
GM1667,Reusel-De Mierden,Volt,122
GM1669,Roerdalen,50PLUS,458
GM1669,Roerdalen,"AWP voor Water, Klimaat en Natuur",44
GM1669,Roerdalen,BBB,2297
GM1669,Roerdalen,Belang van Nederland (BVNL),59
GM1669,Roerdalen,CDA,637
GM1669,Roerdalen,ChristenUnie,52
GM1669,Roerdalen,D66,339
GM1669,Roerdalen,Forum voor Democratie,308
GM1669,Roerdalen,GROENLINKS,580
GM1669,Roerdalen,JA21,386
GM1669,Roerdalen,LOKAAL-LIMBURG,576
GM1669,Roerdalen,Limburgse Senioren Partij (LSP),33
GM1669,Roerdalen,Omzien!,21
GM1669,Roerdalen,PVV (Partij voor de Vrijheid),1136
GM1669,Roerdalen,Partij van de Arbeid (P.v.d.A.),490
GM1669,Roerdalen,Partij voor de Dieren,310
GM1669,Roerdalen,SP (Socialistische Partij),420
GM1669,Roerdalen,VVD,942
GM1674,Roosendaal,50PLUS,817
GM1674,Roosendaal,"AWP voor water, klimaat en natuur",206
GM1674,Roosendaal,Alliantie,135
GM1674,Roosendaal,BBB,5174
GM1674,Roosendaal,Belang van Nederland (BVNL),284
GM1674,Roosendaal,CDA,1776
GM1674,Roosendaal,ChristenUnie-SGP,340
GM1674,Roosendaal,D66,1407
GM1674,Roosendaal,Forum voor Democratie,967
GM1674,Roosendaal,GROENLINKS,1929
GM1674,Roosendaal,JA21,1451
GM1674,Roosendaal,JEZUS LEEFT,15
GM1674,Roosendaal,Lokaal Brabant,1190
GM1674,Roosendaal,Ouderen Appèl - Hart voor Brabant,133
GM1674,Roosendaal,PVV (Partij voor de Vrijheid),2263
GM1674,Roosendaal,Partij van de Arbeid (P.v.d.A.),2133
GM1674,Roosendaal,Partij voor de Dieren,1014
GM1674,Roosendaal,SP (Socialistische Partij),1969
GM1674,Roosendaal,VVD,4391
GM1674,Roosendaal,Volt,536
GM1676,Schouwen-Duiveland,50PLUS,219
GM1676,Schouwen-Duiveland,"AWP voor water, klimaat en natuur",146
GM1676,Schouwen-Duiveland,BBB,4394
GM1676,Schouwen-Duiveland,Belang van Nederland (BVNL),107
GM1676,Schouwen-Duiveland,CDA,1793
GM1676,Schouwen-Duiveland,ChristenUnie,786
GM1676,Schouwen-Duiveland,D66,789
GM1676,Schouwen-Duiveland,Forum voor Democratie,486
GM1676,Schouwen-Duiveland,JA21,744
GM1676,Schouwen-Duiveland,PVV (Partij voor de Vrijheid),768
GM1676,Schouwen-Duiveland,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,2156
GM1676,Schouwen-Duiveland,Partij voor Zeeland (PVZ),906
GM1676,Schouwen-Duiveland,Partij voor de Dieren,748
GM1676,Schouwen-Duiveland,SP (Socialistische Partij),522
GM1676,Schouwen-Duiveland,Staatkundig Gereformeerde Partij (SGP),2249
GM1676,Schouwen-Duiveland,VVD,2025
GM1680,Aa en Hunze,50PLUS,189
GM1680,Aa en Hunze,Alliantie,37
GM1680,Aa en Hunze,BBB,5225
GM1680,Aa en Hunze,Belang van Nederland (BVNL),160
GM1680,Aa en Hunze,CDA,646
GM1680,Aa en Hunze,ChristenUnie,413
GM1680,Aa en Hunze,D66,687
GM1680,Aa en Hunze,Forum voor Democratie,330
GM1680,Aa en Hunze,GROENLINKS,1082
GM1680,Aa en Hunze,JA21,289
GM1680,Aa en Hunze,JEZUS LEEFT,11
GM1680,Aa en Hunze,PVV (Partij voor de Vrijheid),480
GM1680,Aa en Hunze,Partij van de Arbeid (P.v.d.A.),1660
GM1680,Aa en Hunze,Partij voor de Dieren,895
GM1680,Aa en Hunze,SP (Socialistische Partij),670
GM1680,Aa en Hunze,Staatkundig Gereformeerde Partij (SGP),53
GM1680,Aa en Hunze,Sterk Lokaal Drenthe,457
GM1680,Aa en Hunze,VVD,1553
GM1680,Aa en Hunze,Volt,529
GM1681,Borger-Odoorn,50PLUS,139
GM1681,Borger-Odoorn,Alliantie,36
GM1681,Borger-Odoorn,BBB,5285
GM1681,Borger-Odoorn,Belang van Nederland (BVNL),217
GM1681,Borger-Odoorn,CDA,681
GM1681,Borger-Odoorn,ChristenUnie,497
GM1681,Borger-Odoorn,D66,409
GM1681,Borger-Odoorn,Forum voor Democratie,441
GM1681,Borger-Odoorn,GROENLINKS,627
GM1681,Borger-Odoorn,JA21,331
GM1681,Borger-Odoorn,JEZUS LEEFT,19
GM1681,Borger-Odoorn,PVV (Partij voor de Vrijheid),908
GM1681,Borger-Odoorn,Partij van de Arbeid (P.v.d.A.),1361
GM1681,Borger-Odoorn,Partij voor de Dieren,598
GM1681,Borger-Odoorn,SP (Socialistische Partij),642
GM1681,Borger-Odoorn,Staatkundig Gereformeerde Partij (SGP),84
GM1681,Borger-Odoorn,Sterk Lokaal Drenthe,357
GM1681,Borger-Odoorn,VVD,1088
GM1681,Borger-Odoorn,Volt,244
GM1690,De Wolden,50PLUS,104
GM1690,De Wolden,Alliantie,47
GM1690,De Wolden,BBB,6912
GM1690,De Wolden,Belang van Nederland (BVNL),136
GM1690,De Wolden,CDA,915
GM1690,De Wolden,ChristenUnie,602
GM1690,De Wolden,D66,506
GM1690,De Wolden,Forum voor Democratie,369
GM1690,De Wolden,GROENLINKS,702
GM1690,De Wolden,JA21,312
GM1690,De Wolden,JEZUS LEEFT,14
GM1690,De Wolden,PVV (Partij voor de Vrijheid),486
GM1690,De Wolden,Partij van de Arbeid (P.v.d.A.),954
GM1690,De Wolden,Partij voor de Dieren,564
GM1690,De Wolden,SP (Socialistische Partij),441
GM1690,De Wolden,Staatkundig Gereformeerde Partij (SGP),156
GM1690,De Wolden,Sterk Lokaal Drenthe,387
GM1690,De Wolden,VVD,1297
GM1690,De Wolden,Volt,319
GM1695,Noord-Beveland,50PLUS,56
GM1695,Noord-Beveland,"AWP voor water, klimaat en natuur",46
GM1695,Noord-Beveland,BBB,1198
GM1695,Noord-Beveland,Belang van Nederland (BVNL),37
GM1695,Noord-Beveland,CDA,440
GM1695,Noord-Beveland,ChristenUnie,99
GM1695,Noord-Beveland,D66,149
GM1695,Noord-Beveland,Forum voor Democratie,123
GM1695,Noord-Beveland,JA21,191
GM1695,Noord-Beveland,PVV (Partij voor de Vrijheid),179
GM1695,Noord-Beveland,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,531
GM1695,Noord-Beveland,Partij voor Zeeland (PVZ),182
GM1695,Noord-Beveland,Partij voor de Dieren,182
GM1695,Noord-Beveland,SP (Socialistische Partij),142
GM1695,Noord-Beveland,Staatkundig Gereformeerde Partij (SGP),254
GM1695,Noord-Beveland,VVD,409
GM1696,Wijdemeren,50PLUS,397
GM1696,Wijdemeren,"AWP voor water, klimaat en natuur",76
GM1696,Wijdemeren,BBB,2670
GM1696,Wijdemeren,Belang van Nederland (BVNL),161
GM1696,Wijdemeren,CDA,754
GM1696,Wijdemeren,CODE ORANJE,47
GM1696,Wijdemeren,ChristenUnie,506
GM1696,Wijdemeren,D66,828
GM1696,Wijdemeren,DENK,13
GM1696,Wijdemeren,Forum voor Democratie,448
GM1696,Wijdemeren,GROENLINKS,868
GM1696,Wijdemeren,JA21,860
GM1696,Wijdemeren,Namens Noord-Hollanders.,20
GM1696,Wijdemeren,Nederland met een PLAN (S.V.P.),27
GM1696,Wijdemeren,Onafhankelijke Politiek-NH OPNH,328
GM1696,Wijdemeren,PVV (Partij voor de Vrijheid),611
GM1696,Wijdemeren,Partij van de Arbeid (P.v.d.A.),841
GM1696,Wijdemeren,Partij voor de Dieren,654
GM1696,Wijdemeren,Piratenpartij,31
GM1696,Wijdemeren,SP (Socialistische Partij),251
GM1696,Wijdemeren,VVD,2108
GM1696,Wijdemeren,Volt,330
GM1699,Noordenveld,50PLUS,243
GM1699,Noordenveld,Alliantie,45
GM1699,Noordenveld,BBB,5461
GM1699,Noordenveld,Belang van Nederland (BVNL),144
GM1699,Noordenveld,CDA,798
GM1699,Noordenveld,ChristenUnie,872
GM1699,Noordenveld,D66,949
GM1699,Noordenveld,Forum voor Democratie,451
GM1699,Noordenveld,GROENLINKS,1449
GM1699,Noordenveld,JA21,379
GM1699,Noordenveld,JEZUS LEEFT,7
GM1699,Noordenveld,PVV (Partij voor de Vrijheid),615
GM1699,Noordenveld,Partij van de Arbeid (P.v.d.A.),2070
GM1699,Noordenveld,Partij voor de Dieren,953
GM1699,Noordenveld,SP (Socialistische Partij),822
GM1699,Noordenveld,Staatkundig Gereformeerde Partij (SGP),113
GM1699,Noordenveld,Sterk Lokaal Drenthe,389
GM1699,Noordenveld,VVD,1605
GM1699,Noordenveld,Volt,742
GM1700,Twenterand,50PLUS,135
GM1700,Twenterand,Alliantie,122
GM1700,Twenterand,BBB,8213
GM1700,Twenterand,Belang van Nederland (BVNL),143
GM1700,Twenterand,CDA,1909
GM1700,Twenterand,ChristenUnie,1199
GM1700,Twenterand,D66,222
GM1700,Twenterand,Forum voor Democratie,457
GM1700,Twenterand,GROENLINKS,389
GM1700,Twenterand,JA21,595
GM1700,Twenterand,JEZUS LEEFT,32
GM1700,Twenterand,PVV (Partij voor de Vrijheid),1239
GM1700,Twenterand,Partij van de Arbeid (P.v.d.A.),538
GM1700,Twenterand,Partij voor de Dieren,260
GM1700,Twenterand,SP (Socialistische Partij),329
GM1700,Twenterand,Samen Lokaal Twente,275
GM1700,Twenterand,Staatkundig Gereformeerde Partij (SGP),1254
GM1700,Twenterand,VVD,857
GM1700,Twenterand,Volt,166
GM1701,Westerveld,50PLUS,71
GM1701,Westerveld,Alliantie,42
GM1701,Westerveld,BBB,4673
GM1701,Westerveld,Belang van Nederland (BVNL),109
GM1701,Westerveld,CDA,504
GM1701,Westerveld,ChristenUnie,371
GM1701,Westerveld,D66,498
GM1701,Westerveld,Forum voor Democratie,260
GM1701,Westerveld,GROENLINKS,888
GM1701,Westerveld,JA21,224
GM1701,Westerveld,JEZUS LEEFT,5
GM1701,Westerveld,PVV (Partij voor de Vrijheid),352
GM1701,Westerveld,Partij van de Arbeid (P.v.d.A.),991
GM1701,Westerveld,Partij voor de Dieren,824
GM1701,Westerveld,SP (Socialistische Partij),428
GM1701,Westerveld,Staatkundig Gereformeerde Partij (SGP),93
GM1701,Westerveld,Sterk Lokaal Drenthe,917
GM1701,Westerveld,VVD,967
GM1701,Westerveld,Volt,335
GM1705,Lingewaard,50PLUS,503
GM1705,Lingewaard,BBB,4727
GM1705,Lingewaard,Belang van Nederland (BVNL),125
GM1705,Lingewaard,CDA,1710
GM1705,Lingewaard,ChristenUnie,358
GM1705,Lingewaard,D66,1356
GM1705,Lingewaard,Forum voor Democratie,543
GM1705,Lingewaard,GROENLINKS,1698
GM1705,Lingewaard,JA21,899
GM1705,Lingewaard,Lokale Partijen Gelderland,391
GM1705,Lingewaard,ONS Gelderland,127
GM1705,Lingewaard,PVV (Partij voor de Vrijheid),1045
GM1705,Lingewaard,Partij van de Arbeid (P.v.d.A.),2311
GM1705,Lingewaard,Partij voor de Dieren,684
GM1705,Lingewaard,SP (Socialistische Partij),1037
GM1705,Lingewaard,Staatkundig Gereformeerde Partij (SGP),41
GM1705,Lingewaard,VVD,4000
GM1705,Lingewaard,Volt,732
GM1706,Cranendonck,50PLUS,221
GM1706,Cranendonck,"AWP voor water, klimaat en natuur",178
GM1706,Cranendonck,Alliantie,54
GM1706,Cranendonck,BBB,2364
GM1706,Cranendonck,Belang van Nederland (BVNL),115
GM1706,Cranendonck,CDA,632
GM1706,Cranendonck,ChristenUnie-SGP,46
GM1706,Cranendonck,D66,392
GM1706,Cranendonck,Forum voor Democratie,289
GM1706,Cranendonck,GROENLINKS,401
GM1706,Cranendonck,JA21,608
GM1706,Cranendonck,JEZUS LEEFT,14
GM1706,Cranendonck,Lokaal Brabant,251
GM1706,Cranendonck,Ouderen Appèl - Hart voor Brabant,35
GM1706,Cranendonck,PVV (Partij voor de Vrijheid),932
GM1706,Cranendonck,Partij van de Arbeid (P.v.d.A.),511
GM1706,Cranendonck,Partij voor de Dieren,260
GM1706,Cranendonck,SP (Socialistische Partij),650
GM1706,Cranendonck,VVD,1474
GM1706,Cranendonck,Volt,170
GM1708,Steenwijkerland,50PLUS,349
GM1708,Steenwijkerland,Alliantie,186
GM1708,Steenwijkerland,BBB,9415
GM1708,Steenwijkerland,Belang van Nederland (BVNL),212
GM1708,Steenwijkerland,CDA,1900
GM1708,Steenwijkerland,ChristenUnie,1404
GM1708,Steenwijkerland,D66,665
GM1708,Steenwijkerland,Forum voor Democratie,697
GM1708,Steenwijkerland,GROENLINKS,1421
GM1708,Steenwijkerland,JA21,1001
GM1708,Steenwijkerland,JEZUS LEEFT,32
GM1708,Steenwijkerland,PVV (Partij voor de Vrijheid),1117
GM1708,Steenwijkerland,Partij van de Arbeid (P.v.d.A.),1651
GM1708,Steenwijkerland,Partij voor de Dieren,876
GM1708,Steenwijkerland,SP (Socialistische Partij),673
GM1708,Steenwijkerland,Samen Lokaal Twente,63
GM1708,Steenwijkerland,Staatkundig Gereformeerde Partij (SGP),408
GM1708,Steenwijkerland,VVD,1911
GM1708,Steenwijkerland,Volt,410
GM1709,Moerdijk,50PLUS,422
GM1709,Moerdijk,"AWP voor water, klimaat en natuur",67
GM1709,Moerdijk,Alliantie,79
GM1709,Moerdijk,BBB,3927
GM1709,Moerdijk,Belang van Nederland (BVNL),175
GM1709,Moerdijk,CDA,1059
GM1709,Moerdijk,ChristenUnie-SGP,500
GM1709,Moerdijk,D66,593
GM1709,Moerdijk,Forum voor Democratie,533
GM1709,Moerdijk,GROENLINKS,617
GM1709,Moerdijk,JA21,851
GM1709,Moerdijk,JEZUS LEEFT,11
GM1709,Moerdijk,Lokaal Brabant,819
GM1709,Moerdijk,Ouderen Appèl - Hart voor Brabant,36
GM1709,Moerdijk,PVV (Partij voor de Vrijheid),1271
GM1709,Moerdijk,Partij van de Arbeid (P.v.d.A.),1072
GM1709,Moerdijk,Partij voor de Dieren,460
GM1709,Moerdijk,SP (Socialistische Partij),1041
GM1709,Moerdijk,VVD,2165
GM1709,Moerdijk,Volt,232
GM1711,Echt-Susteren,50PLUS,280
GM1711,Echt-Susteren,"AWP voor Water, Klimaat en Natuur",165
GM1711,Echt-Susteren,BBB,2889
GM1711,Echt-Susteren,Belang van Nederland (BVNL),186
GM1711,Echt-Susteren,CDA,1419
GM1711,Echt-Susteren,ChristenUnie,96
GM1711,Echt-Susteren,D66,715
GM1711,Echt-Susteren,Forum voor Democratie,467
GM1711,Echt-Susteren,GROENLINKS,1128
GM1711,Echt-Susteren,JA21,570
GM1711,Echt-Susteren,LOKAAL-LIMBURG,710
GM1711,Echt-Susteren,Limburgse Senioren Partij (LSP),103
GM1711,Echt-Susteren,Omzien!,31
GM1711,Echt-Susteren,PVV (Partij voor de Vrijheid),2317
GM1711,Echt-Susteren,Partij van de Arbeid (P.v.d.A.),990
GM1711,Echt-Susteren,Partij voor de Dieren,493
GM1711,Echt-Susteren,SP (Socialistische Partij),783
GM1711,Echt-Susteren,VVD,1174
GM1714,Sluis,50PLUS,86
GM1714,Sluis,"AWP voor water, klimaat en natuur",66
GM1714,Sluis,BBB,2999
GM1714,Sluis,Belang van Nederland (BVNL),58
GM1714,Sluis,CDA,1219
GM1714,Sluis,ChristenUnie,112
GM1714,Sluis,D66,335
GM1714,Sluis,Forum voor Democratie,370
GM1714,Sluis,JA21,244
GM1714,Sluis,PVV (Partij voor de Vrijheid),551
GM1714,Sluis,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,1213
GM1714,Sluis,Partij voor Zeeland (PVZ),669
GM1714,Sluis,Partij voor de Dieren,340
GM1714,Sluis,SP (Socialistische Partij),383
GM1714,Sluis,Staatkundig Gereformeerde Partij (SGP),160
GM1714,Sluis,VVD,1141
GM1719,Drimmelen,50PLUS,360
GM1719,Drimmelen,"AWP voor water, klimaat en natuur",72
GM1719,Drimmelen,Alliantie,67
GM1719,Drimmelen,BBB,3739
GM1719,Drimmelen,Belang van Nederland (BVNL),145
GM1719,Drimmelen,CDA,762
GM1719,Drimmelen,ChristenUnie-SGP,107
GM1719,Drimmelen,D66,605
GM1719,Drimmelen,Forum voor Democratie,367
GM1719,Drimmelen,GROENLINKS,637
GM1719,Drimmelen,JA21,627
GM1719,Drimmelen,JEZUS LEEFT,4
GM1719,Drimmelen,Lokaal Brabant,444
GM1719,Drimmelen,Ouderen Appèl - Hart voor Brabant,38
GM1719,Drimmelen,PVV (Partij voor de Vrijheid),923
GM1719,Drimmelen,Partij van de Arbeid (P.v.d.A.),935
GM1719,Drimmelen,Partij voor de Dieren,451
GM1719,Drimmelen,SP (Socialistische Partij),832
GM1719,Drimmelen,VVD,1908
GM1719,Drimmelen,Volt,230
GM1721,Bernheze,50PLUS,619
GM1721,Bernheze,"AWP voor water, klimaat en natuur",49
GM1721,Bernheze,Alliantie,99
GM1721,Bernheze,BBB,3513
GM1721,Bernheze,Belang van Nederland (BVNL),103
GM1721,Bernheze,CDA,1463
GM1721,Bernheze,ChristenUnie-SGP,83
GM1721,Bernheze,D66,897
GM1721,Bernheze,Forum voor Democratie,312
GM1721,Bernheze,GROENLINKS,791
GM1721,Bernheze,JA21,616
GM1721,Bernheze,JEZUS LEEFT,4
GM1721,Bernheze,Lokaal Brabant,591
GM1721,Bernheze,Ouderen Appèl - Hart voor Brabant,51
GM1721,Bernheze,PVV (Partij voor de Vrijheid),915
GM1721,Bernheze,Partij van de Arbeid (P.v.d.A.),747
GM1721,Bernheze,Partij voor de Dieren,318
GM1721,Bernheze,SP (Socialistische Partij),1485
GM1721,Bernheze,VVD,2055
GM1721,Bernheze,Volt,279
GM1723,Alphen-Chaam,50PLUS,110
GM1723,Alphen-Chaam,"AWP voor water, klimaat en natuur",14
GM1723,Alphen-Chaam,Alliantie,25
GM1723,Alphen-Chaam,BBB,1828
GM1723,Alphen-Chaam,Belang van Nederland (BVNL),39
GM1723,Alphen-Chaam,CDA,406
GM1723,Alphen-Chaam,ChristenUnie-SGP,25
GM1723,Alphen-Chaam,D66,292
GM1723,Alphen-Chaam,Forum voor Democratie,128
GM1723,Alphen-Chaam,GROENLINKS,249
GM1723,Alphen-Chaam,JA21,211
GM1723,Alphen-Chaam,JEZUS LEEFT,5
GM1723,Alphen-Chaam,Lokaal Brabant,375
GM1723,Alphen-Chaam,Ouderen Appèl - Hart voor Brabant,14
GM1723,Alphen-Chaam,PVV (Partij voor de Vrijheid),281
GM1723,Alphen-Chaam,Partij van de Arbeid (P.v.d.A.),226
GM1723,Alphen-Chaam,Partij voor de Dieren,208
GM1723,Alphen-Chaam,SP (Socialistische Partij),280
GM1723,Alphen-Chaam,VVD,847
GM1723,Alphen-Chaam,Volt,85
GM1724,Bergeijk,50PLUS,170
GM1724,Bergeijk,"AWP voor water, klimaat en natuur",39
GM1724,Bergeijk,Alliantie,53
GM1724,Bergeijk,BBB,2638
GM1724,Bergeijk,Belang van Nederland (BVNL),71
GM1724,Bergeijk,CDA,1357
GM1724,Bergeijk,ChristenUnie-SGP,58
GM1724,Bergeijk,D66,360
GM1724,Bergeijk,Forum voor Democratie,220
GM1724,Bergeijk,GROENLINKS,492
GM1724,Bergeijk,JA21,348
GM1724,Bergeijk,JEZUS LEEFT,2
GM1724,Bergeijk,Lokaal Brabant,460
GM1724,Bergeijk,Ouderen Appèl - Hart voor Brabant,39
GM1724,Bergeijk,PVV (Partij voor de Vrijheid),444
GM1724,Bergeijk,Partij van de Arbeid (P.v.d.A.),497
GM1724,Bergeijk,Partij voor de Dieren,253
GM1724,Bergeijk,SP (Socialistische Partij),465
GM1724,Bergeijk,VVD,1113
GM1724,Bergeijk,Volt,189
GM1728,Bladel,50PLUS,261
GM1728,Bladel,"AWP voor water, klimaat en natuur",35
GM1728,Bladel,Alliantie,47
GM1728,Bladel,BBB,2518
GM1728,Bladel,Belang van Nederland (BVNL),81
GM1728,Bladel,CDA,782
GM1728,Bladel,ChristenUnie-SGP,75
GM1728,Bladel,D66,463
GM1728,Bladel,Forum voor Democratie,208
GM1728,Bladel,GROENLINKS,423
GM1728,Bladel,JA21,351
GM1728,Bladel,JEZUS LEEFT,3
GM1728,Bladel,Lokaal Brabant,1324
GM1728,Bladel,Ouderen Appèl - Hart voor Brabant,39
GM1728,Bladel,PVV (Partij voor de Vrijheid),603
GM1728,Bladel,Partij van de Arbeid (P.v.d.A.),544
GM1728,Bladel,Partij voor de Dieren,251
GM1728,Bladel,SP (Socialistische Partij),639
GM1728,Bladel,VVD,1141
GM1728,Bladel,Volt,208
GM1729,Gulpen-Wittem,50PLUS,136
GM1729,Gulpen-Wittem,"AWP voor Water, Klimaat en Natuur",33
GM1729,Gulpen-Wittem,BBB,2103
GM1729,Gulpen-Wittem,Belang van Nederland (BVNL),36
GM1729,Gulpen-Wittem,CDA,859
GM1729,Gulpen-Wittem,ChristenUnie,62
GM1729,Gulpen-Wittem,D66,388
GM1729,Gulpen-Wittem,Forum voor Democratie,187
GM1729,Gulpen-Wittem,GROENLINKS,696
GM1729,Gulpen-Wittem,Hart voor Vrijheid,4
GM1729,Gulpen-Wittem,JA21,235
GM1729,Gulpen-Wittem,JEZUS LEEFT,14
GM1729,Gulpen-Wittem,LOKAAL-LIMBURG,141
GM1729,Gulpen-Wittem,Limburgse Senioren Partij (LSP),17
GM1729,Gulpen-Wittem,Omzien!,23
GM1729,Gulpen-Wittem,PVV (Partij voor de Vrijheid),709
GM1729,Gulpen-Wittem,Partij van de Arbeid (P.v.d.A.),419
GM1729,Gulpen-Wittem,Partij voor de Dieren,344
GM1729,Gulpen-Wittem,SP (Socialistische Partij),422
GM1729,Gulpen-Wittem,VVD,683
GM1730,Tynaarlo,50PLUS,268
GM1730,Tynaarlo,Alliantie,67
GM1730,Tynaarlo,BBB,4405
GM1730,Tynaarlo,Belang van Nederland (BVNL),185
GM1730,Tynaarlo,CDA,870
GM1730,Tynaarlo,ChristenUnie,962
GM1730,Tynaarlo,D66,1535
GM1730,Tynaarlo,Forum voor Democratie,346
GM1730,Tynaarlo,GROENLINKS,2101
GM1730,Tynaarlo,JA21,385
GM1730,Tynaarlo,JEZUS LEEFT,9
GM1730,Tynaarlo,PVV (Partij voor de Vrijheid),517
GM1730,Tynaarlo,Partij van de Arbeid (P.v.d.A.),2054
GM1730,Tynaarlo,Partij voor de Dieren,1116
GM1730,Tynaarlo,SP (Socialistische Partij),862
GM1730,Tynaarlo,Staatkundig Gereformeerde Partij (SGP),93
GM1730,Tynaarlo,Sterk Lokaal Drenthe,577
GM1730,Tynaarlo,VVD,1956
GM1730,Tynaarlo,Volt,966
GM1731,Midden-Drenthe,50PLUS,197
GM1731,Midden-Drenthe,Alliantie,95
GM1731,Midden-Drenthe,BBB,8662
GM1731,Midden-Drenthe,Belang van Nederland (BVNL),226
GM1731,Midden-Drenthe,CDA,1283
GM1731,Midden-Drenthe,ChristenUnie,842
GM1731,Midden-Drenthe,D66,566
GM1731,Midden-Drenthe,Forum voor Democratie,509
GM1731,Midden-Drenthe,GROENLINKS,922
GM1731,Midden-Drenthe,JA21,428
GM1731,Midden-Drenthe,JEZUS LEEFT,8
GM1731,Midden-Drenthe,PVV (Partij voor de Vrijheid),697
GM1731,Midden-Drenthe,Partij van de Arbeid (P.v.d.A.),1787
GM1731,Midden-Drenthe,Partij voor de Dieren,735
GM1731,Midden-Drenthe,SP (Socialistische Partij),716
GM1731,Midden-Drenthe,Staatkundig Gereformeerde Partij (SGP),206
GM1731,Midden-Drenthe,Sterk Lokaal Drenthe,353
GM1731,Midden-Drenthe,VVD,1263
GM1731,Midden-Drenthe,Volt,456
GM1734,Overbetuwe,50PLUS,504
GM1734,Overbetuwe,BBB,5234
GM1734,Overbetuwe,Belang van Nederland (BVNL),138
GM1734,Overbetuwe,CDA,1862
GM1734,Overbetuwe,ChristenUnie,941
GM1734,Overbetuwe,D66,1464
GM1734,Overbetuwe,Forum voor Democratie,573
GM1734,Overbetuwe,GROENLINKS,1754
GM1734,Overbetuwe,JA21,920
GM1734,Overbetuwe,Lokale Partijen Gelderland,463
GM1734,Overbetuwe,ONS Gelderland,122
GM1734,Overbetuwe,PVV (Partij voor de Vrijheid),1003
GM1734,Overbetuwe,Partij van de Arbeid (P.v.d.A.),2098
GM1734,Overbetuwe,Partij voor de Dieren,833
GM1734,Overbetuwe,SP (Socialistische Partij),924
GM1734,Overbetuwe,Staatkundig Gereformeerde Partij (SGP),447
GM1734,Overbetuwe,VVD,2890
GM1734,Overbetuwe,Volt,839
GM1735,Hof van Twente,50PLUS,266
GM1735,Hof van Twente,Alliantie,146
GM1735,Hof van Twente,BBB,8729
GM1735,Hof van Twente,Belang van Nederland (BVNL),159
GM1735,Hof van Twente,CDA,1890
GM1735,Hof van Twente,ChristenUnie,305
GM1735,Hof van Twente,D66,669
GM1735,Hof van Twente,Forum voor Democratie,461
GM1735,Hof van Twente,GROENLINKS,1045
GM1735,Hof van Twente,JA21,714
GM1735,Hof van Twente,JEZUS LEEFT,14
GM1735,Hof van Twente,PVV (Partij voor de Vrijheid),773
GM1735,Hof van Twente,Partij van de Arbeid (P.v.d.A.),1362
GM1735,Hof van Twente,Partij voor de Dieren,435
GM1735,Hof van Twente,SP (Socialistische Partij),469
GM1735,Hof van Twente,Samen Lokaal Twente,396
GM1735,Hof van Twente,Staatkundig Gereformeerde Partij (SGP),109
GM1735,Hof van Twente,VVD,1879
GM1735,Hof van Twente,Volt,400
GM1740,Neder-Betuwe,50PLUS,117
GM1740,Neder-Betuwe,BBB,2774
GM1740,Neder-Betuwe,Belang van Nederland (BVNL),79
GM1740,Neder-Betuwe,CDA,612
GM1740,Neder-Betuwe,ChristenUnie,606
GM1740,Neder-Betuwe,D66,189
GM1740,Neder-Betuwe,Forum voor Democratie,282
